"","V1","Participant","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger"
"340",19,"13","II","No",0.625674915314,"lcmd",1,"Index","Middle"
"341",20,"13","II","No",0.613922071457,"lcmd",1,"Index","Middle"
"342",21,"13","II","Yes",0.796385860443,"lalt",1,"Middle","Middle"
"343",22,"13","II","Yes",0.563369894028,"lcmd",1,"Index","Index"
"344",23,"13","II","No",0.703188085556,"lalt",1,"Middle","Index"
"345",24,"13","II","Yes",0.682993078232,"lalt",1,"Middle","Middle"
"346",25,"13","II","No",0.574042892456,"lcmd",1,"Index","Middle"
"347",26,"13","II","No",0.587525081635,"lalt",1,"Middle","Index"
"348",27,"13","II","Yes",0.735435914993,"lcmd",1,"Index","Index"
"349",28,"13","II","No",0.627817821503,"lcmd",1,"Index","Middle"
"350",29,"13","II","No",0.648611974716,"lalt",1,"Middle","Index"
"351",30,"13","II","Yes",0.755972909927,"lalt",1,"Middle","Middle"
"352",31,"13","II","Yes",0.653568935394,"lcmd",1,"Index","Index"
"353",32,"13","II","No",0.731109952927,"lcmd",1,"Index","Middle"
"354",33,"13","II","No",0.704507780075,"lalt",1,"Middle","Index"
"355",34,"13","II","Yes",0.686321973801,"lalt",1,"Middle","Middle"
"356",35,"13","II","Yes",0.538490009308,"lcmd",1,"Index","Index"
"357",36,"13","II","Yes",0.582173109055,"lcmd",1,"Index","Index"
"358",37,"13","II","No",0.687925052643,"lalt",1,"Middle","Index"
"359",38,"13","II","Yes",0.676117992401,"lalt",1,"Middle","Middle"
"360",39,"13","II","No",0.621941804886,"lcmd",1,"Index","Middle"
"361",40,"13","II","Yes",0.639949989319,"lcmd",1,"Index","Index"
"362",41,"13","II","No",0.680107975006,"lalt",1,"Middle","Index"
"363",42,"13","II","Yes",0.641445112228,"lalt",1,"Middle","Middle"
"364",43,"13","II","No",0.711890077591,"lcmd",1,"Index","Middle"
"365",44,"13","II","Yes",0.56155500412,"lalt",1,"Middle","Middle"
"366",45,"13","II","Yes",0.570909070969,"lcmd",1,"Index","Index"
"367",46,"13","II","No",0.584560108185,"lcmd",1,"Index","Middle"
"368",47,"13","II","No",0.609740066528,"lalt",1,"Middle","Index"
"369",48,"13","II","Yes",0.636945056915,"lcmd",1,"Index","Index"
"370",49,"13","II","No",0.579186105728,"lcmd",1,"Index","Middle"
"371",50,"13","II","No",0.629687070847,"lalt",1,"Middle","Index"
"372",51,"13","II","Yes",0.625579929352,"lalt",1,"Middle","Middle"
"373",52,"13","II","No",0.639576053619,"lalt",1,"Middle","Index"
