"Participant","V1","Condition","Congruity","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
3,13,"II","No",0.534474945068,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.626470425073163
3,14,"II","Yes",0.419074964523,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.86970546212029
3,15,"II","Yes",0.489718103409,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.713925352590832
3,16,"II","No",0.444875001907,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.809961930865183
3,17,"II","Yes",0.554694032669,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.589338609741568
3,18,"II","Yes",0.441118907928,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.818440807389802
3,19,"II","No",0.469089126587,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.756962493223553
3,20,"II","No",0.467985010147,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.759319013177876
3,21,"II","Yes",0.477468109131,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.739257908451923
3,22,"II","Yes",0.470293998718,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.754397250652632
3,23,"II","No",0.901549196243,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.103640666288081
3,24,"II","No",0.463342094421,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.769289632881977
3,25,"II","Yes",0.518958902359,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.655930585157807
3,26,"II","No",0.461637926102,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.77297440489735
3,27,"II","Yes",0.587700986862,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.531536986171476
3,28,"II","No",0.498098087311,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.696958258880158
3,29,"II","Yes",0.443375062942,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.813339223927267
3,30,"II","No",0.461014080048,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.774326694048428
3,31,"II","Yes",0.440553188324,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.819724095551108
3,32,"II","Yes",0.417110109329,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.874405040890023
3,33,"II","No",0.456484079361,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.784201454996678
3,34,"II","Yes",0.409341001511,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.893206725785564
3,35,"II","No",0.480680942535,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.732551550104229
3,36,"II","No",0.529115867615,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.636547839699397
3,37,"II","Yes",0.479283094406,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.735463844863598
3,38,"II","Yes",0.427659130096,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.849428825724573
3,39,"II","No",0.490363073349,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.712609196238889
3,40,"II","Yes",0.451526117325,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.795122062117031
3,41,"II","No",0.521620082855,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.650815766704834
3,42,"II","No",0.445512056351,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.808530969921182
3,43,"II","Yes",0.433550024033,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.835748093725916
3,44,"II","No",0.49542183876,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.702345679814132
3,45,"II","Yes",0.468213891983,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.758830053321078
3,46,"II","Yes",0.416955947876,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.874774703348827
3,47,"II","No",0.42452788353,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.8567775898049
3,48,"II","No",0.480763149262,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.732380543328273
3,49,"II","Yes",0.466413927078,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.762681783589793
3,50,"II","Yes",0.584658908844,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.536726663602045
3,51,"II","No",0.466945886612,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.761541902519713
3,52,"II","No",0.505112123489,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.682974847640168
3,53,"II","Yes",0.496055841446,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.701066775033779
