"Participant","V1","Condition","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
4,60,"IT",0.659250116348,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.416652277263356
4,65,"IT",0.591008996964,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.525924038402572
4,66,"IT",0.588618040085,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.529977794510408
4,71,"IT",0.468155956268,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.758953798687681
4,72,"IT",0.784663009644,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.242500940447512
4,73,"IT",0.934795093536,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.0674279250090006
4,76,"IT",0.523994874954,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.646273375331063
4,77,"IT",0.527696084976,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.639234757631578
5,3,"II",0.605326843262,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.501986730029964
5,6,"II",0.4771089077,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.74001049612504
5,7,"II",0.514144039154,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.665251820967453
5,9,"II",0.500208044052,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.692731178996596
5,11,"II",0.543693161011,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.609370233517062
5,14,"II",0.531615829468,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.631834175558533
5,15,"II",0.502990055084,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.687184880282622
5,17,"II",0.719355964661,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.329398960796486
5,18,"II",0.570722913742,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.560851452005418
5,20,"II",0.46792678833,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.759443430494059
5,21,"II",0.504714107513,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.683763133751959
5,24,"II",0.612340068817,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.490467482794474
5,25,"II",0.788298892975,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.237877955236682
5,29,"II",0.453038930893,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.791777217030599
5,31,"II",0.525533056259,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.643342186249619
5,33,"II",0.656295919418,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.421143495077785
5,38,"II",0.667738866806,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.403858099828924
5,41,"II",0.63997092247,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.446332537301184
5,43,"II",0.591702890396,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.524750644410287
5,45,"II",0.605201101303,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.50219447733562
5,46,"II",0.543300151825,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.610093345975039
5,50,"II",0.664554166794,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.408638889035889
5,51,"II",0.517465019226,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.658813351825856
5,53,"II",0.483687973022,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.726315264002331
5,55,"II",0.579347896576,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.545852124207605
5,57,"II",0.520727825165,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.652527782244115
5,59,"II",0.721965932846,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.325777325626354
5,62,"II",0.558454847336,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.582581510050879
5,63,"II",0.456352043152,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.784490742869199
5,64,"II",0.569587087631,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.56284358832847
5,67,"II",0.602099895477,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.507331908109159
5,68,"II",0.466027927399,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.763509716611452
