"Participant","V1","Condition","Congruity","Response","Correctness","Cue","Finger","Item","Gender","Reaction_time","FS","EC","PT","PD","SS","Age"
9,58,"II","Yes","lcmd","1","Index","Index","Index Index","male",1.23979730685851,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,59,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.10657681684671,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,60,"II","No","lalt","1","Middle","Index","Middle Index","male",1.09016055675684,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,61,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.253098122108609,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,62,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.548134038464516,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,64,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.199686352853722,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,65,"II","No","lalt","1","Middle","Index","Middle Index","male",0.350955513658915,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,66,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.574696038583068,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,67,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.411963218704679,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,68,"II","No","lalt","1","Middle","Index","Middle Index","male",0.0794527331668987,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,69,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.587331636220301,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
