"Participant","V1","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age"
3,31,"II","Yes",0.440553188324,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,32,"II","Yes",0.417110109329,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,33,"II","No",0.456484079361,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,34,"II","Yes",0.409341001511,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,35,"II","No",0.480680942535,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,36,"II","No",0.529115867615,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,37,"II","Yes",0.479283094406,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,38,"II","Yes",0.427659130096,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,39,"II","No",0.490363073349,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,40,"II","Yes",0.451526117325,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,41,"II","No",0.521620082855,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,42,"II","No",0.445512056351,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,43,"II","Yes",0.433550024033,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,44,"II","No",0.49542183876,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,45,"II","Yes",0.468213891983,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,46,"II","Yes",0.416955947876,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,47,"II","No",0.42452788353,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,48,"II","No",0.480763149262,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,49,"II","Yes",0.466413927078,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,50,"II","Yes",0.584658908844,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,51,"II","No",0.466945886612,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,52,"II","No",0.505112123489,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
